headword,headword_raw,translation
ღვანწქი,ɣvanc'ki,cheek
მარგალი,margali,Mingrelian
არჩქილე,arčkile,s/he hears it
ჯვეში,ǯveši,old
მარძღვანი,marʒɣvani,right
პჭარუნდი,p'č'árundi,I was writing it
პჭარუნდით,p'č'arúndit,we were writing it
ჯოღორეფი,ǯoɣórepi,dogs-Nom
ჯოღორეფიშ,ǯoɣorépiš,dogs-Gen
დოღურუ,doɣúru,s/he will die
დიჭარუ,d-i-č'ár-u,it will be written
მევოღორე,mevoɣóre,I yelled
მიოღორუ,mioɣóru,s/he yelled
ქომიწუ,komíc'u,s/he told me
დოღურუ,dóɣuru,s/he died
ვამწმგადვინე,vamc'mgadvine,you cannot put it in front
მიშგახუნე,mišgaxune,you can sit down
მიწოხე,mi+c'o-xe,s/he is sitting in front
მეღალა,me-ɣala,taking thither
მითოღალა,mi+to-ɣala,taking under
გამკოლუ,gamk'olu,s/he fell down here
გემკოლუ,gemk'olu,s/he fell down here
ვემწოხე,vemc'oxe,s/he is not sitting in front
გურ,gur,heart
ბირცხა,bircxa,fingernail
ტუ,t'u,udder
და,da,sister
ტუ,tu,suckling pig
ჯიმა,ǯima,brother
ტყა,t'q'a,forest
მუმა,muma,father
მა,ma,I
სი,si,you/Sg
მუ,mu,"he, she, it"
ჩქი,čki,we
ტკვა,tkva,you/Pl
მუნეპი,munepi,they
ტენა,tena,this
ატენა,atena,full complex form of 'this
ტინა,tina,that
ეტინა,etina,full complex form of 'that
ტეცალი,te-cali,"this kind, such"
ტისხი,ti-sxi,"that many, that much"
მინეფი,min-ep-i,who Pl
ნამუნეფი,namun-ep-i,which Pl
მუჭომი,mu-č'omi,what kind?
მუნერი,mu-neri,what kind?
მუნეერი,mu-neeri,what kind?
მუპერი,mu-peri,what kind?
მუსხი,mu-sxi,"how much, how many?"
მუზუმა,mu-zuma,"how much, how many?"
მუზჷმა,mu-zəma,"how much, how many?"
მუჟანს,mu-žans,when
მიტი,mi-ti,who
მუტი,mu-ti,which
ნამუ,namu-,which
მუზმატი,muzma-ti,"as many, as much"
მიტინი,mitini,"someone, anyone"
მუტუნი,mutuni,"something, anything"
ნამუტინი,namutini,"whichever, some, any"
მიდგა,midga,someone
მუდგა,mudga,something
ნამუდგა,namudga,"something, whichever"
მიტა,mi-t-a,no one
მუტა,mu-t-a,nothing
არტიანი,arti-ani,each other
ართიმაჟირა,arti-mažir-a,one another
არძო,arʒo,"every, each, all"
არძა,arʒa,"every, each, all"
ირი,iri,"all, everything"
შხვა,šxva,"other, another"
მეურკ,me-ur-k,I am going
მეურს,me-ur-s,s/he is going
მეულან,me-ul-an,they are going
კომადოხოდუნიე,komado-xod-u-n-ie,he will sit down beside it
კიმტოხენ,kimto-x-e-n,she is sitting beneath it
კუგუუხუნუნან,kugu-u-xun-u-nan,evidently they sat around it
პტასუნკ,p-tasunk,I sow it
ვტასუნკ,v-tasunk,I sow it
ბტასუნკ,b-tasunk,I sow it
პიდულენკ,p'-idulenk,I buy it
ვმუშენქ,v-mušenk,I work
ვირდუკ,v-i-rduk,I grow
მიჭარუნს,m-ič'aruns,s/he writes it for me
ბლახუნს,b-laxuns,s/he hits me
მლახუნს,m-laxuns,s/he hits me
მრჩხუნქ,m-rčxunk,you wash me
მპორუნს,m-poruns,it covers me
გეჩიებუნ,g-ečiebun,s/he converses with you
რბონს,r-bons,s/he bathes you
რლახუნს,r-laxuns,s/he hits you
გრდუნს,g-rduns,s/he raises you
გრჩხუნს,g-rčxuns,s/he washes you
გრჭიპუნს,g-rč'ip'uns,s/he stretches you
ჭარუნს,č'ar-un-s,she is writing it
რტხიინკ,r-txi-in-k,I request of you
ილენს,i-l-en-s,he passes by
ორჯგინანცჷ,o-rǯgin-an-c-ə,he outdoes him
ვიფუჩუანქ,v-i-puč-uan-k,I swear it
იბონთჷ,i-bon-t-ə,you bathe
რენ,r-e-n,s/he is
ირდუუნ,i-rd-u-u-n,s/he grows
ლალჷნს,lal-ən-s,is barking
მი,mi-,will bark at someone
აშქურინენ,a-škur-in-e-n,s/he will be afraid
ოშქურუნ,o-škur-u-n,s/he is afraid
იჸუაფუნ,iʔuapun,s/he will be
ჭარუ,č'ar-u,s/he was writing
დოჭარუ,do-č'ar-u,s/he wrote it
ილაჸაფუ,i-laʔap-u,s/he played
დოღურუ,do-ɣur-u,s/he died
გორი,gor-i,look for it; you looked for it
ოსკირეე,oskir-ee,dry it; you dried it
ჭარას,č'ar-a-s,may s/he write it
დოჭარას,do-č'ar-a-s,may s/he write it
დოღურას,do-ɣur-a-s,may s/he die
ჭარუკონ,č'ar-u-k'on,if s/he wrote it
დოჭარუკონ,do-č'ar-u-k'on,if s/he wrote it
უჭარუნ,u-č'ar-u-n,s/he has evidently written it
დუუჭარუნ,du-u-č'ar-u-n,s/he has evidently written it
ურაგადუნ,u-ragad-u-n,s/he has evidently talked
დოშქვიდე,do-škvid-e,s/he has evidently drowned
დუშქვიდუაფუნ,d-u-škvid-u-ap-u-n,s/he has evidently drowned him
დუუჭარუდუ,du-u-č'ar-u-d-u,s/he had evidently written it
დოღურელედუ,do-ɣur-ele-d-u,s/he had evidently died
დუუჭარუდას,du-u-č'ar-u-d-a-s,would that s/he had written it
დუუჭარუდუკონ,du-u-č'ar-u-d-u-k'on,if s/he had written it
ნოჭარუენ,no-č'ar-u-e-n,evidently s/he is writing it
ნოჭარუედუ,no-č'ar-u-e-d-u,evidently s/he was writing it
იღუპუუნ,i-ɣup'-u-u-n,s/he is killed
მაღუპუუნ,m-a-ɣup'-u-u-n,s/he is killed and this affects me
გიმოპორუნ,gi-m-o-por-u-n,it covers for me
ვოდუუკ,v-o-du-u-k,I argue with him
ვოვერდუკ,v-o-verd-u-k,I implore him
მომეტუნ,m-o-met'-u-n,"it seems large, more to me"
მოჭიჭარუნ,m-o-č'ič'ar-u-n,"it seems small, few to me"
მომძიმუნ,m-o-mʒim-u-n,it seems heavy to me
მონწარუნ,m-o-nc'ar-u-n,it seems bitter to me
მეჭიჭარუ,m-e-č'ič'ar-u,"it seemed small, few to me"
მემძიმუ,m-e-mʒim-u,it seemed heavy to me
მენწარუ,m-e-nc'ar-u,it seemed bitter to me
იტასენ,i-tas-e-n,"it is possible for it to be sown, it can be sown"
იჭკომენ,i-č'k'om-e-n,"it can be eaten, it is edible"
ატასენ,a-tas-e-n,s/he can sow it
აჭკომენ,a-č'k'om-e-n,s/he can eat it
ალინე,a-l-in-e,s/he can go away
მიაჩე,mi-a-č-e,s/he can give it
ბაღანაქ,baɣana-k,The child played in the yard
ბაღანაქ,baɣana-k,The child played backgammon
ატე,ate,This man sings well
ატე,ate,This man sings the wedding songs well
ვიხვამაპუკ,v-i-xvam-ap-u-k,I bestow blessings
ვიხვამუუკ,v-i-xvam-u-u-k,I am blessed
იტასუნ,i-tas-u-n,it is sown
ატასუნ,a-tas-u-n,"it is sown for him, his are sown"
ოჭარაფუანს,o-č'ar-ap-u-an-s,he makes him write it
ოჭარაფუუ,o-č'ar-ap-u-u,he made him write it
უჭარაფუაფუნ,u-č'ar-ap-u-ap-u-n,he apparently made him write it
ნოჭარაფუაფენ,no-č'ar-ap-u-ap-e-n,he apparently makes him write it
ოსკირუანს,o-skir-u-an-s,s/he dries it
სკირუნ,skir-u-n,it dries
ვოჭითინუანქ,v-o-č'it-in-u-an-k,"I redden it, make it red"
ვოლინუანკ,v-o-l-in-u-an-k,I carry it
ვოლაჸაფუანქ,v-o-laʔ-ap-u-an-k,I make him/her play
ბლაჸაფენს,b-laʔ-ap-en-s,I play
ვობირუანკ,v-o-bir-u-an-k,I make him/her sing
ვიბირკ,v-i-bir-k,I sing
ვონგარუანკ,v-o-ngar-u-an-k,I make him/her cry
ინგარს,i-ngar-s,s/he cries
ვორაგადუანკ,v-o-ragad-u-an-k,I make him/her talk
ვრაგადანკ,v-ragad-an-k,I talk
ვამაჸვილაფე,va-m-a-ʔvil-ap-e,I cannot make her kill him
ვამარაგადაპე,va-m-a-ragad-ap-e,I cannot make him/her talk
ჭრელი,č'reli,a multicolored hen
ჯგირი,ǯgiri,such a good wife
ღურელი,ɣureli,the dead priest; physician Adamia
ბრელი,breli,many men
კილო,k'ilo,a kilo of meat
სუმი,sumi,three brothers
ხენწფეშ,xenc'pe-š,to the governor's palace
ტი,ti,that priest
ბერიშ,ber-iš,the old man's hat
ირი,iri,every man
ეთიშ,etiš,the key of/to his house
მუმასკანი,muma-skan-i,your father and my father
ჸუდე,ʔude,to your house
კარი,k'ar-i,the gate to the yard
ოსური,osur-i,to his wife
დო,do,and
ჩილქ,čil-k,wife-Nar and husband-Nar
სუმი,sumi,three horsemen and one girl-Nar
ნგერეფი,nger-ep-i,wolf-Pl-Base and fox-jackal-Pl-Dat
ტე,te,this woman-Pl-Base and girl-Pl-Gen
გორჩქინდჷ,gorčkində,appear forest-Dat wolf-Base jackal.Base bear-Nar
ცხენ,cxen,horse
სკუა,skua,child
იშ,iš,his
ტერეპ,t'erep,enemy
ჯარ,ǯar,grief
ბაღანა,baɣana,child
ჸუდე,ʔude,house
კვინჩა,k'vinča,siskin
ატე,ate,these
კოჩეფ,k'očep,men
ჯგირო,ǯgiro,well
იბირა,ibir-a,sing-3.Pl.Subj
დიარა,diara,holiday
ნუგზარს,nugzar-s,Nugzar
მუმაკ,muma-k,father
კოჩქ,k'oč-k,man
არტი,arti,one king-Dat
ბოშის,boš-is,boy-Dat
ოსურს,osur-s,woman-Dat
კოს,k'o-s,man-Dat
საგანი,sagan-i,arrow-Nom
მუმას,muma-s,father-Dat
სი,si,you
ბაღანას,baɣana-s,child-Dat
კოჩი,k'oč-i,man-Nom
კატა,k'ata,people
არძოქჷ,arʒo-kə,all
დიდამუმაკ,dida-muma-k,mother-father
კუმორტუ,kumortu,come
ქომორთჷ,komort-ə,come
დიდი,didi,big
ჸუდეს,ʔude-s,house-Dat
გატყურია,gat'q'uria,deceiver
ძღაბი,ʒɣab-i,girl-Nom
დიაკონკ,diak'on-k,deacon-Nar
ატენეფი,atenep-i,these-Nom
ბოშიქ,boši-k,boy-Nar
გილელეს,gileles,come
სათურქოშე,saturko-še,Turkey-Abl
დუუკუნუნა,duukununa,cover
ირკოჩიშო,irk'oč-išo,everyman-Des
ჩქიმოთი,čkim-oti,me-Des
ზღვაში,zɣva-ši,sea-Gen
მაპაკ,mapa-k,king-Nar
ძღაბიქ,ʒɣabi-k,girl-Nar
ქიდნაჸოთეს,kidnaʔotes,throw
ძალამ,ʒalam-,"very much, very"
ინეპი,inepi,they-Nom
ტინაკ,tina-k,that-Nar
ჩქინ,čkin,our
სურატიკ,surati-k,picture-Nar
ხანტირკ,xant'ir-k,painted-Nar
გაფჷ,g-apə,killed 2.Obj-have
აფჷ,apə,3.Obj/have
თეში,teši,this/Gen
ოხვარჷდათ,oxvarədat,you/help
ცხენ,cxen-,horse-Nom
მუშენი,mušeni,why
მუ,mu,what
ვა,va,negative marker
მიტა,mita,no one
მუტა,muta,nothing
მიტინ,mitin,someone
მითინცჷ,mitin-cə,someone
მარა,mara,but
ნამუდა,namuda,that
ნი,ni,that
კუუწი,kuuc'i,you
მუტი,mu-ti,what
ნამუ,namu,which
მიტ,mi-t,who
ნამიტი,nami-ti,which
კოჩქჷ,k'oč-kə,man-Nar
ნამუტი,namu-ti,which/Nom-Rel
წყარცჷ,c'q'ar-cə,water-Dat
უწუუ,uc'uu,dry/I
ხამი,xam-i,knife-Nom
ნაჸვილა,naʔvila,killed
გოხირილი,goxirili,and robbed
კოჩიში,k'oč-iši,man-Gen
კორას,kora-s,stomach-Dat
ხამქჷ,xam-kə,this knife-Nar
ბოშიშიქ,boš-iši-k,this boy-Gen-Nar
სოშა,so-ša,where-All
მეურქჷ,meurkə,you/go
მუ,mu,what/Nom
საკიტ,sak'-it,sack-Inst
მეგიღუ,megiɣu,you/take/it
მუსუ,mu-su,what-Dat
ჭარუნს,č'aruns,he/write/it
ნი,ni,Comp
თაში,taši,this way
თეში,teši,that way
თიშენი,tišeni,because of that / becausethat
ტეკ,tek,there
ტაკ,tak,here
ტეურე,teure,thither
ტაურე,taure,hither
თიმწკჷმა,timc'k'əma,then
ტიმწკალა,timc'k'ala,then
ხატე,xate,then immediately
უკული,uk'uli,later
ვეღუ,v-eɣu,Neg-take
მუტუნი,mutuni,something
თეში,teši,thatway
მოლარტუ,molartu,come
ჸუდშა,ʔud-ša,house-All
სკანი,skani,your
სამარტალს,samartal-s,justice-Dat
ირი,iri,every
ოცქვანსჷ,ockvansə,praise
მატი,ma-ti,I-too
კარიშა,k'ar-iša,your door-All
ქჷმოფრთი,kəmoprti,come
მიოჯინნი,mioǯin-ni,look-Comp
